"Id","SalePrice"
1461,125769.834566667
1462,153593.054633333
1463,185667.499766667
1464,186896.0871
1465,215195.976466667
1466,180072.561266667
1467,175950.021166667
1468,174338.002233333
1469,177600.104966667
1470,127733.5376
1471,200425.872
1472,97948.0892333333
1473,99532.8712
1474,151117.4299
1475,125514.834966667
1476,374960.112566667
1477,250011.122133333
1478,307448.678833333
1479,277623.331633333
1480,469762.2432
1481,308963.0228
1482,210179.202366667
1483,182364.373333333
1484,171624.308633333
1485,173944.037433333
1486,199492.289166667
1487,316220.6652
1488,235917.413733333
1489,209634.4364
1490,215699.1882
1491,189709.088433333
1492,100927.193333333
1493,177244.0472
1494,292029.236666667
1495,286391.1695
1496,232211.151933333
1497,189847.675633333
1498,154975.5692
1499,154062.009166667
1500,162872.723671429
1501,174303.730366667
1502,157399.703666667
1503,291858.217466667
1504,228836.428366667
1505,219162.9953
1506,182913.192833333
1507,244619.612866667
1508,193198.4716
1509,164034.177766667
1510,151054.6981
1511,150475.880433333
1512,175964.7191
1513,149603.249233333
1514,163298.257666667
1515,180985.292666667
1516,157942.5897
1517,153807.890366667
1518,133250.2954
1519,223108.153033333
1520,139617.626333333
1521,143168.931766667
1522,160524.438633333
1523,114678.766233333
1524,121459.7444
1525,126659.557533333
1526,128654.205
1527,106822.9395
1528,124492.568633333
1529,142827.126533333
1530,165646.573
1531,135840.861433333
1532,109956.627966667
1533,140931.077266667
1534,115538.237433333
1535,156084.309266667
1536,117099.5339
1537,91085.9627666667
1538,170681.877633333
1539,222257.3464
1540,125688.820633333
1541,145056.741466667
1542,144765.448433333
1543,206629.328266667
1544,83759.8548
1545,104923.9931
1546,127093.464933333
1547,141640.842033333
1548,132854.515533333
1549,116470.273066667
1550,143751.3425
1551,123536.723366667
1552,140996.8324
1553,145184.4614
1554,108895.9597
1555,173582.671466667
1556,98655.1241666667
1557,124439.611833333
1558,96714.5432
1559,119884.5763
1560,148989.1094
1561,157145.7124
1562,126548.685366667
1563,120363.376766667
1564,164348.652933333
1565,153157.706166667
1566,223919.0126
1567,83772.0602666667
1568,218377.346033333
1569,160790.654333333
1570,133807.4135
1571,137014.657033333
1572,143953.4883
1573,237568.991133333
1574,127887.498533333
1575,218533.748666667
1576,233065.776833333
1577,202041.3037
1578,141068.431166667
1579,145288.961133333
1580,193362.5879
1581,139833.320366667
1582,130152.162
1583,324642.808633333
1584,247952.6882
1585,139314.3221
1586,76438.0520333333
1587,106560.776833333
1588,144874.795933333
1589,104033.4963
1590,134873.257533333
1591,108136.921466667
1592,128122.195766667
1593,120337.213666667
1594,147720.4306
1595,131603.0164
1596,222452.009833333
1597,176966.985233333
1598,190256.949133333
